ID	P.Value	logFC	Gene.symbol	Gene.title
1455165_at	3.43e-15	5.06	Rora	RAR-related orphan receptor alpha
1436325_at	8.04e-14	4.89	Rora	RAR-related orphan receptor alpha
1420583_a_at	2.38e-13	5.36	Rora	RAR-related orphan receptor alpha
1422189_x_at	2.77e-13	2.55	Tcrg-V4	T cell receptor gamma, variable 4
1450521_a_at	2.98e-13	2.54	Tcrg-V4	T cell receptor gamma, variable 4
1424034_at	3.17e-13	4.41	Rora	RAR-related orphan receptor alpha
1418004_a_at	5.62e-13	4.89	Tmem176b	transmembrane protein 176B
1422188_s_at	1.03e-12	2.39	Tcrg-V4///Trgv2	T cell receptor gamma, variable 4///T cell receptor gamma variable 2
1425814_a_at	2.14e-12	-2.69	Calcrl	calcitonin receptor-like
1425603_at	1.26e-11	5.12	Tmem176a	transmembrane protein 176A
1416130_at	2.09e-11	1.86	Prnp	prion protein
1419638_at	2.63e-11	-2.29	Efnb2	ephrin B2
1425967_a_at	5.39e-11	-4.90	Mcpt4	mast cell protease 4
1451335_at	6.47e-11	4.93	Plac8	placenta-specific 8
1419639_at	7.29e-11	-2.22	Efnb2	ephrin B2
1436326_at	8.72e-11	4.02	Rora	RAR-related orphan receptor alpha
1460319_at	8.88e-11	1.86	Fut8	fucosyltransferase 8
1423909_at	9.51e-11	4.80	Tmem176a	transmembrane protein 176A
1438782_at	1.26e-10	-3.67	Cntn4	contactin 4
1454959_s_at	1.47e-10	-4.34	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
1436044_at	1.71e-10	-1.87	Scn7a	sodium channel, voltage-gated, type VII, alpha
1440938_at	1.76e-10	1.82	Treml2	triggering receptor expressed on myeloid cells-like 2
1448929_at	2.15e-10	1.83	F13a1	coagulation factor XIII, A1 subunit
1424338_at	2.45e-10	1.87	Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
1450020_at	2.59e-10	3.97	Cx3cr1	chemokine (C-X3-C motif) receptor 1
1441811_x_at	3.84e-10	4.16	Tmem176a	transmembrane protein 176A
1429559_at	4.50e-10	-3.08	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1434440_at	4.52e-10	-3.83	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
1417818_at	5.68e-10	-3.76	Wwtr1	WW domain containing transcription regulator 1
