"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC0100000014.mm.2"	1965.5245	2027.5413	1966.503	2198.5242	2458.1287	2033.482
"TC0100000018.mm.2"	86.31598	92.427246	99.79149	83.1676	82.06155	77.42002
"TC0100000021.mm.2"	831.3808	1042.6472	1370.9891	1483.1792	1449.3192	1904.4917
"TC0100000022.mm.2"	42.162407	35.185265	35.510616	38.858196	38.40236	34.912525
"TC0100000023.mm.2"	28.679407	30.618652	33.988148	28.35774	29.074057	32.55749
"TC0100000027.mm.2"	1508.2297	1750.378	1530.162	1402.2904	1670.8545	1489.8011
"TC0100000038.mm.2"	2037.1954	2715.314	2322.7017	2959.5347	2796.0269	2654.0266
"TC0100000039.mm.2"	114.30905	123.00093	115.87705	128.97714	86.80713	97.3271
"TC0100000041.mm.2"	121.6165	129.27773	105.652466	97.139	103.112	90.60515
"TC0100000044.mm.2"	71.621864	86.0222	88.196754	81.358894	62.13175	103.76568
"TC0100000045.mm.2"	47.550896	42.207706	46.729053	31.186972	34.647533	37.973675
"TC0100000048.mm.2"	326.27618	405.84055	360.80063	403.45456	418.1493	455.0462
"TC0100000055.mm.2"	227.3412	212.23137	182.85399	62.740574	73.94412	81.283875
"TC0100000056.mm.2"	49.365444	38.943096	40.179543	42.404613	43.190254	40.618126
"TC0100000064.mm.2"	1200.7017	918.41736	1161.1459	1107.7017	919.05566	922.8856
"TC0100000071.mm.2"	34.443645	32.719673	38.08352	36.682415	37.23794	33.878685
"TC0100000082.mm.2"	71.343506	62.24566	53.78577	74.275925	57.63488	69.855705
"TC0100000092.mm.2"	4511.397	5557.649	5140.2046	5073.603	5319.972	6090.552
"TC0100000097.mm.2"	133.23766	168.43254	210.6996	210.7432	228.71053	232.1556
"TC0100000101.mm.2"	336.76367	338.7154	422.0267	342.13	305.44974	365.95294
"TC0100000103.mm.2"	6003.377	6810.2495	6464.3687	6001.873	5380.1855	7070.094
"TC0100000109.mm.2"	39.11095	34.070446	32.67452	29.980062	32.69939	25.20916
"TC0100000112.mm.2"	42.561543	37.21465	36.192657	37.345085	37.083588	34.969265
"TC0100000113.mm.2"	53.5061	59.78766	60.189636	62.972237	60.83609	61.18347
"TC0100000115.mm.2"	37.510853	38.16276	37.494663	36.426857	38.757507	34.469803
"TC0100000116.mm.2"	4996.4834	5077.8374	5064.492	3980.2964	4028.994	3460.1216
"TC0100000125.mm.2"	97.79308	81.75612	69.075455	81.62592	81.91909	62.742523
"TC0100000127.mm.2"	314.43655	332.9093	343.3076	341.1413	325.66595	225.27899
"TC0100000129.mm.2"	571.59546	681.2537	859.4311	803.0306	902.9077	1047.701
"TC0100000131.mm.2"	230.2153	221.09297	262.45892	243.74895	248.65665	273.94348
"TC0100000133.mm.2"	137.86221	154.70955	182.97043	208.00897	178.70229	178.75888
"TC0100000135.mm.2"	96.67691	90.36843	83.67996	72.28265	79.07611	87.74634
"TC0100000137.mm.2"	92.79027	75.51847	99.628456	86.4692	74.75663	83.05701
"TC0100000140.mm.2"	65.61944	53.3845	65.352844	63.310448	53.392403	61.405853
"TC0100000143.mm.2"	48.308094	46.023617	42.73019	44.025253	44.55093	47.741196
"TC0100000159.mm.2"	186.42258	183.89651	188.28287	160.25604	170.99225	146.03918
"TC0100000164.mm.2"	209.56114	262.39093	180.18484	175.83813	203.677	222.2406
"TC0100000171.mm.2"	1849.1382	2211.6094	1848.4977	1758.2313	2618.5566	2568.9863
"TC0100000177.mm.2"	64.69681	62.99826	52.08269	55.34988	64.0388	56.32799
"TC0100000193.mm.2"	67.03402	54.088028	61.102898	57.503952	70.115685	50.96473
"TC0100000194.mm.2"	31.790016	34.09213	34.7831	29.975613	35.975002	35.09495
"TC0100000201.mm.2"	32.66081	37.968468	48.08738	37.274994	42.218983	40.290928
"TC0100000214.mm.2"	102.4625	98.792816	111.290474	102.93425	103.927444	96.95662
