ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1455165_at	1.55e-10	3.43e-15	5.72e+01	20.9664496	5.06	Rora	RAR-related orphan receptor alpha
1436325_at	3.63e-09	8.04e-14	4.31e+01	19.5869175	4.89	Rora	RAR-related orphan receptor alpha
1420583_a_at	1.07e-08	2.38e-13	3.91e+01	19.0043146	5.36	Rora	RAR-related orphan receptor alpha
1422189_x_at	1.25e-08	2.77e-13	3.86e+01	18.917548	2.55	Tcrg-V4	T cell receptor gamma, variable 4
1450521_a_at	1.35e-08	2.98e-13	3.83e+01	18.8748684	2.54	Tcrg-V4	T cell receptor gamma, variable 4
1424034_at	1.43e-08	3.17e-13	3.81e+01	18.8400193	4.41	Rora	RAR-related orphan receptor alpha
1418004_a_at	2.54e-08	5.62e-13	3.62e+01	18.5006589	4.89	Tmem176b	transmembrane protein 176B
1422188_s_at	4.64e-08	1.03e-12	3.43e+01	18.1257583	2.39	Tcrg-V4///Trgv2	T cell receptor gamma, variable 4///T cell receptor gamma variable 2
1425814_a_at	9.67e-08	2.14e-12	-3.21e+01	17.647764	-2.69	Calcrl	calcitonin receptor-like
1425603_at	5.68e-07	1.26e-11	2.74e+01	16.3953672	5.12	Tmem176a	transmembrane protein 176A
1416130_at	9.42e-07	2.09e-11	2.61e+01	16.0124428	1.86	Prnp	prion protein
1419638_at	1.18e-06	2.63e-11	-2.56e+01	15.835365	-2.29	Efnb2	ephrin B2
1425967_a_at	2.43e-06	5.39e-11	-2.40e+01	15.2679725	-4.90	Mcpt4	mast cell protease 4
1451335_at	2.92e-06	6.47e-11	2.36e+01	15.1209954	4.93	Plac8	placenta-specific 8
1419639_at	3.29e-06	7.29e-11	-2.33e+01	15.0231928	-2.22	Efnb2	ephrin B2
1436326_at	3.93e-06	8.72e-11	2.30e+01	14.8773174	4.02	Rora	RAR-related orphan receptor alpha
1460319_at	4.00e-06	8.88e-11	2.29e+01	14.8626253	1.86	Fut8	fucosyltransferase 8
1423909_at	4.29e-06	9.51e-11	2.28e+01	14.8056343	4.80	Tmem176a	transmembrane protein 176A
1438782_at	5.68e-06	1.26e-10	-2.22e+01	14.5735374	-3.67	Cntn4	contactin 4
1454959_s_at	6.64e-06	1.47e-10	-2.19e+01	14.4425232	-4.34	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
1436044_at	7.69e-06	1.71e-10	-2.16e+01	14.3189783	-1.87	Scn7a	sodium channel, voltage-gated, type VII, alpha
1440938_at	7.93e-06	1.76e-10	2.15e+01	14.2929187	1.82	Treml2	triggering receptor expressed on myeloid cells-like 2
1448929_at	9.71e-06	2.15e-10	2.12e+01	14.1212076	1.83	F13a1	coagulation factor XIII, A1 subunit
1424338_at	1.10e-05	2.45e-10	2.09e+01	14.0113747	1.87	Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
1450020_at	1.17e-05	2.59e-10	2.08e+01	13.9626718	3.97	Cx3cr1	chemokine (C-X3-C motif) receptor 1
1441811_x_at	1.73e-05	3.84e-10	2.01e+01	13.622568	4.16	Tmem176a	transmembrane protein 176A
1429559_at	2.03e-05	4.50e-10	-1.98e+01	13.485117	-3.08	Gnaq	guanine nucleotide binding protein, alpha q polypeptide
1434440_at	2.04e-05	4.52e-10	-1.98e+01	13.4809754	-3.83	Gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting 1
1417818_at	2.56e-05	5.68e-10	-1.94e+01	13.2797718	-3.76	Wwtr1	WW domain containing transcription regulator 1
1437151_at	3.39e-05	7.53e-10	-1.89e+01	13.0309461	-1.21	Usp22	ubiquitin specific peptidase 22
1435148_at	3.49e-05	7.74e-10	1.88e+01	13.0061428	3.13	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide
1420544_at	4.43e-05	9.83e-10	1.84e+01	12.7927565	2.83	Gcsam	germinal center associated, signaling and motility
1448785_at	4.72e-05	1.05e-09	1.83e+01	12.7358534	2.69	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
1418095_at	5.44e-05	1.21e-09	1.81e+01	12.6080034	7.63	Smpx	small muscle protein, X-linked
1449220_at	5.72e-05	1.27e-09	1.80e+01	12.5619194	3.97	Gimap3	GTPase, IMAP family member 3
1424704_at	6.39e-05	1.42e-09	-1.78e+01	12.4616862	-2.97	Runx2	runt related transcription factor 2
1424443_at	6.89e-05	1.53e-09	-1.77e+01	12.3941008	-1.45	Tm6sf1	transmembrane 6 superfamily member 1
1451827_a_at	7.22e-05	1.60e-09	1.76e+01	12.3516367	1.48	Nox4	NADPH oxidase 4
1415949_at	7.59e-05	1.68e-09	1.75e+01	12.3056678	2.69	Cpe	carboxypeptidase E
1437477_at	8.22e-05	1.83e-09	-1.74e+01	12.2323759	-1.05	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1
